ID	Relationship	Branch IDs	Signature composition
CRUK0062	tip-tip	B6-B5	Different
CRUK0062	tip-tip	B6-B1	Different
CRUK0062	tip-tip	B6-B3	Different
CRUK0062	tip-tip	B6-C3	Different
CRUK0062	tip-tip	B6-C2	Different
CRUK0062	tip-tip	B6-C1	Different
CRUK0062	tip-tip	B5-B1	Same
CRUK0062	tip-tip	B5-B3	Different
CRUK0062	tip-tip	B5-C3	Different
CRUK0062	tip-tip	B5-C2	Same
CRUK0062	tip-tip	B5-C1	Same
CRUK0062	tip-tip	B1-B3	Different
CRUK0062	tip-tip	B1-C3	Different
CRUK0062	tip-tip	B1-C2	Same
CRUK0062	tip-tip	B1-C1	Same
CRUK0062	tip-tip	B3-C3	Same
CRUK0062	tip-tip	B3-C2	Different
CRUK0062	tip-tip	B3-C1	Different
CRUK0062	tip-tip	C3-C2	Different
CRUK0062	tip-tip	C3-C1	Different
CRUK0062	tip-tip	C2-C1	Same
CRUK0062	root-tip	B4-B6	Same
CRUK0062	root-tip	B4-B5	Different
CRUK0062	root-tip	B4-B1	Different
CRUK0062	root-tip	B4-B3	Different
CRUK0062	root-tip	B4-C3	Different
CRUK0062	root-tip	B4-C2	Different
CRUK0062	root-tip	B4-C1	Different
CRUK0063	tip-tip	C2-C1	Same
CRUK0063	tip-tip	C2-B3	Different
CRUK0063	tip-tip	C1-B3	Different
CRUK0063	root-tip	B2-C2	Different
CRUK0063	root-tip	B2-C1	Different
CRUK0063	root-tip	B2-B3	Same
CRUK0064	tip-tip	B5-B3	Same
CRUK0064	root-tip	B1-B5	Different
CRUK0064	root-tip	B1-B3	Different
CRUK0065	tip-tip	B2-B4	Same
CRUK0065	tip-tip	B2-B6	Different
CRUK0065	tip-tip	B2-B3	Different
CRUK0065	tip-tip	B2-C1	Different
CRUK0065	tip-tip	B2-B8	Different
CRUK0065	tip-tip	B2-B9	Different
CRUK0065	tip-tip	B4-B6	Different
CRUK0065	tip-tip	B4-B3	Different
CRUK0065	tip-tip	B4-C1	Different
CRUK0065	tip-tip	B4-B8	Different
CRUK0065	tip-tip	B4-B9	Different
CRUK0065	tip-tip	B6-B3	Different
CRUK0065	tip-tip	B6-C1	Different
CRUK0065	tip-tip	B6-B8	Same
CRUK0065	tip-tip	B6-B9	Different
CRUK0065	tip-tip	B3-C1	Different
CRUK0065	tip-tip	B3-B8	Different
CRUK0065	tip-tip	B3-B9	Different
CRUK0065	tip-tip	C1-B8	Different
CRUK0065	tip-tip	C1-B9	Same
CRUK0065	tip-tip	B8-B9	Different
CRUK0065	root-tip	B1-B2	Different
CRUK0065	root-tip	B1-B4	Different
CRUK0065	root-tip	B1-B6	Same
CRUK0065	root-tip	B1-B3	Different
CRUK0065	root-tip	B1-C1	Different
CRUK0065	root-tip	B1-B8	Same
CRUK0065	root-tip	B1-B9	Different
CRUK0066	tip-tip	C2-C1	Different
CRUK0066	tip-tip	C2-B7	Different
CRUK0066	tip-tip	C1-B7	Different
CRUK0066	root-tip	B1-C2	Same
CRUK0066	root-tip	B1-C1	Different
CRUK0066	root-tip	B1-B7	Different
CRUK0067	tip-tip	B4-B3	Different
CRUK0067	root-tip	B1-B4	Different
CRUK0067	root-tip	B1-B3	Same
CRUK0068	tip-tip	B7-B3	Different
CRUK0068	tip-tip	B7-C2	Different
CRUK0068	tip-tip	B7-C1	Different
CRUK0068	tip-tip	B3-C2	Same
CRUK0068	tip-tip	B3-C1	Same
CRUK0068	tip-tip	C2-C1	Same
CRUK0068	root-tip	B1-B7	Different
CRUK0068	root-tip	B1-B3	Different
CRUK0068	root-tip	B1-C2	Different
CRUK0068	root-tip	B1-C1	Different
CRUK0069	tip-tip	C3-C2	Different
CRUK0069	tip-tip	C3-C1	Different
CRUK0069	tip-tip	C2-C1	Different
CRUK0069	root-tip	B1-C3	Different
CRUK0069	root-tip	B1-C2	Different
CRUK0069	root-tip	B1-C1	Different
CRUK0070	tip-tip	C3-C2	Same
CRUK0070	tip-tip	C3-C1	Different
CRUK0070	tip-tip	C2-C1	Different
CRUK0070	root-tip	B1-C3	Different
CRUK0070	root-tip	B1-C2	Different
CRUK0070	root-tip	B1-C1	Different
CRUK0071	tip-tip	B4-B5	Same
CRUK0071	tip-tip	B4-B2	Different
CRUK0071	tip-tip	B4-C2	Same
CRUK0071	tip-tip	B4-C1	Same
CRUK0071	tip-tip	B5-B2	Different
