Method	ID	Branch ID	Signature	True Signature activity	Inferred signature activity
QP	m5_S18_k0_eps0.1	1	S12	0.028246675	0.012086353
QP	m5_S18_k0_eps0.1	1	S1	0.014277618	0.006464222
QP	m5_S18_k0_eps0.1	1	S17	0.047276795	0.046308324
QP	m5_S18_k0_eps0.1	1	S6	0.087488555	0.093748133
QP	m5_S18_k0_eps0.1	1	S15	0.069828363	0.062244366
QP	m5_S18_k0_eps0.1	1	S4	0.483866835	0.419840812
QP	m5_S18_k0_eps0.1	1	S30	0.075092428	0.079647964
QP	m5_S18_k0_eps0.1	1	S27	0.169325094	0.160053005
QP	m5_S18_k0_eps0.1	3	S1	0.014277618	0.027500835
QP	m5_S18_k0_eps0.1	3	S17	0.047276795	0.045206173
QP	m5_S18_k0_eps0.1	3	S6	0.087488555	0.059093268
QP	m5_S18_k0_eps0.1	3	S15	0.069828363	0.077494176
QP	m5_S18_k0_eps0.1	3	S4	0.483866835	0.348476859
QP	m5_S18_k0_eps0.1	3	S27	0.169325094	0.198513913
QP	m5_S18_k0_eps0.1	2	S12	0.028246675	0.024826052
QP	m5_S18_k0_eps0.1	2	S1	0.014277618	0.009902857
QP	m5_S18_k0_eps0.1	2	S17	0.047276795	0.045654102
QP	m5_S18_k0_eps0.1	2	S6	0.087488555	0.079831118
QP	m5_S18_k0_eps0.1	2	S15	0.069828363	0.072649173
QP	m5_S18_k0_eps0.1	2	S4	0.483866835	0.427699486
QP	m5_S18_k0_eps0.1	2	S5	0.024597637	0.040695887
QP	m5_S18_k0_eps0.1	2	S30	0.075092428	0.041294584
QP	m5_S18_k0_eps0.1	2	S27	0.169325094	0.153308503
QP	m5_S18_k0_eps0.1	5	S17	0.047276795	0.059283391
QP	m5_S18_k0_eps0.1	5	S6	0.087488555	0.148131375
QP	m5_S18_k0_eps0.1	5	S15	0.069828363	0.031710554
QP	m5_S18_k0_eps0.1	5	S4	0.483866835	0.362727175
QP	m5_S18_k0_eps0.1	5	S27	0.169325094	0.228673017
QP	m5_S18_k0_eps0.1	4	S12	0.028246675	0.014580692
QP	m5_S18_k0_eps0.1	4	S17	0.047276795	0.052339805
QP	m5_S18_k0_eps0.1	4	S6	0.087488555	0.11119383
QP	m5_S18_k0_eps0.1	4	S15	0.069828363	0.047931383
QP	m5_S18_k0_eps0.1	4	S4	0.483866835	0.450933923
QP	m5_S18_k0_eps0.1	4	S5	0.024597637	0.021024703
QP	m5_S18_k0_eps0.1	4	S30	0.075092428	0.049934143
QP	m5_S18_k0_eps0.1	4	S27	0.169325094	0.171160644
PhyloSigFinder.QP	m5_S18_k0_eps0.1	1	S17	0.047276795	0.046308324
PhyloSigFinder.QP	m5_S18_k0_eps0.1	1	S6	0.087488555	0.093748133
PhyloSigFinder.QP	m5_S18_k0_eps0.1	1	S15	0.069828363	0.062244366
PhyloSigFinder.QP	m5_S18_k0_eps0.1	1	S4	0.483866835	0.419840812
PhyloSigFinder.QP	m5_S18_k0_eps0.1	1	S30	0.075092428	0.079647964
PhyloSigFinder.QP	m5_S18_k0_eps0.1	1	S27	0.169325094	0.160053005
PhyloSigFinder.QP	m5_S18_k0_eps0.1	3	S17	0.047276795	0.045901286
PhyloSigFinder.QP	m5_S18_k0_eps0.1	3	S6	0.087488555	0.118839691
PhyloSigFinder.QP	m5_S18_k0_eps0.1	3	S15	0.069828363	0.06910192
PhyloSigFinder.QP	m5_S18_k0_eps0.1	3	S4	0.483866835	0.399868856
PhyloSigFinder.QP	m5_S18_k0_eps0.1	3	S30	0.075092428	0.09367682
PhyloSigFinder.QP	m5_S18_k0_eps0.1	3	S27	0.169325094	0.1960795
PhyloSigFinder.QP	m5_S18_k0_eps0.1	2	S17	0.047276795	0.056989918
PhyloSigFinder.QP	m5_S18_k0_eps0.1	2	S6	0.087488555	0.092534198
PhyloSigFinder.QP	m5_S18_k0_eps0.1	2	S15	0.069828363	0.081321612
PhyloSigFinder.QP	m5_S18_k0_eps0.1	2	S4	0.483866835	0.518469603
PhyloSigFinder.QP	m5_S18_k0_eps0.1	2	S30	0.075092428	0.072533605
PhyloSigFinder.QP	m5_S18_k0_eps0.1	2	S27	0.169325094	0.161886126
PhyloSigFinder.QP	m5_S18_k0_eps0.1	5	S17	0.047276795	0.060795883
PhyloSigFinder.QP	m5_S18_k0_eps0.1	5	S6	0.087488555	0.140660162
PhyloSigFinder.QP	m5_S18_k0_eps0.1	5	S15	0.069828363	0.050891411
PhyloSigFinder.QP	m5_S18_k0_eps0.1	5	S4	0.483866835	0.422728589
PhyloSigFinder.QP	m5_S18_k0_eps0.1	5	S30	0.075092428	0.098324507
PhyloSigFinder.QP	m5_S18_k0_eps0.1	5	S27	0.169325094	0.226599449
PhyloSigFinder.QP	m5_S18_k0_eps0.1	4	S17	0.047276795	0.062973232
PhyloSigFinder.QP	m5_S18_k0_eps0.1	4	S6	0.087488555	0.114233579
PhyloSigFinder.QP	m5_S18_k0_eps0.1	4	S15	0.069828363	0.056570778
PhyloSigFinder.QP	m5_S18_k0_eps0.1	4	S4	0.483866835	0.502238078
PhyloSigFinder.QP	m5_S18_k0_eps0.1	4	S30	0.075092428	0.079105907
PhyloSigFinder.QP	m5_S18_k0_eps0.1	4	S27	0.169325094	0.175907227
