Method	ID	Branch	Number of mutations	FP	FN	TP
dSig	m5_S18_k0_eps0.1	1	188	0	3	6
dSig	m5_S18_k0_eps0.1	3	56	2	6	3
dSig	m5_S18_k0_eps0.1	2	192	1	4	5
dSig	m5_S18_k0_eps0.1	5	45	1	5	4
dSig	m5_S18_k0_eps0.1	4	178	0	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	1	188	0	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	3	56	1	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	2	192	1	3	6
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	5	45	0	4	5
PhyloSigFinder.dSig	m5_S18_k0_eps0.1	4	178	0	3	6
PhySigs	m5_S18_k0_eps0.1	1	188	0	3	6
PhySigs	m5_S18_k0_eps0.1	3	56	0	3	6
PhySigs	m5_S18_k0_eps0.1	2	192	0	3	6
PhySigs	m5_S18_k0_eps0.1	5	45	0	3	6
PhySigs	m5_S18_k0_eps0.1	4	178	0	3	6
dSig	m5_S37_k0_eps0.1	1	49	1	8	5
dSig	m5_S37_k0_eps0.1	3	85	0	8	5
dSig	m5_S37_k0_eps0.1	2	106	0	9	4
dSig	m5_S37_k0_eps0.1	5	92	0	8	5
dSig	m5_S37_k0_eps0.1	4	103	1	9	4
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	1	49	0	8	5
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	3	85	0	7	6
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	2	106	1	7	6
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	5	92	1	6	7
PhyloSigFinder.dSig	m5_S37_k0_eps0.1	4	103	1	8	5
PhySigs	m5_S37_k0_eps0.1	1	49	0	8	5
PhySigs	m5_S37_k0_eps0.1	3	85	0	8	5
PhySigs	m5_S37_k0_eps0.1	2	106	0	8	5
PhySigs	m5_S37_k0_eps0.1	5	92	0	8	5
PhySigs	m5_S37_k0_eps0.1	4	103	0	8	5
dSig	m5_S3_k0_eps0.1	1	110	1	5	7
dSig	m5_S3_k0_eps0.1	3	107	2	5	7
dSig	m5_S3_k0_eps0.1	2	188	0	4	8
dSig	m5_S3_k0_eps0.1	5	107	1	6	6
dSig	m5_S3_k0_eps0.1	4	39	3	8	4
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	1	110	2	5	7
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	3	107	2	5	7
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	2	188	1	3	9
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	5	107	2	5	7
PhyloSigFinder.dSig	m5_S3_k0_eps0.1	4	39	1	6	6
PhySigs	m5_S3_k0_eps0.1	1	110	0	5	7
PhySigs	m5_S3_k0_eps0.1	3	107	0	5	7
PhySigs	m5_S3_k0_eps0.1	2	188	0	5	7
PhySigs	m5_S3_k0_eps0.1	5	107	0	5	7
PhySigs	m5_S3_k0_eps0.1	4	39	0	5	7
dSig	m5_S45_k0_eps0.1	1	81	0	12	4
dSig	m5_S45_k0_eps0.1	3	88	0	10	6
dSig	m5_S45_k0_eps0.1	2	176	0	12	4
dSig	m5_S45_k0_eps0.1	5	101	0	12	4
dSig	m5_S45_k0_eps0.1	4	74	1	11	5
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	1	81	0	10	6
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	3	88	0	7	9
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	2	176	0	5	11
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	5	101	1	10	6
PhyloSigFinder.dSig	m5_S45_k0_eps0.1	4	74	0	8	8
PhySigs	m5_S45_k0_eps0.1	1	81	0	12	4
PhySigs	m5_S45_k0_eps0.1	3	88	0	12	4
PhySigs	m5_S45_k0_eps0.1	2	176	0	12	4
PhySigs	m5_S45_k0_eps0.1	5	101	0	12	4
PhySigs	m5_S45_k0_eps0.1	4	74	0	12	4
dSig	m5_S5_k0_eps0.1	1	32	2	6	6
dSig	m5_S5_k0_eps0.1	3	67	1	6	6
dSig	m5_S5_k0_eps0.1	2	84	0	8	4
dSig	m5_S5_k0_eps0.1	5	64	0	7	5
dSig	m5_S5_k0_eps0.1	4	196	0	7	5
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	1	32	0	6	6
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	3	67	0	5	7
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	2	84	0	5	7
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	5	64	0	5	7
PhyloSigFinder.dSig	m5_S5_k0_eps0.1	4	196	0	3	9
PhySigs	m5_S5_k0_eps0.1	1	32	0	6	6
PhySigs	m5_S5_k0_eps0.1	3	67	0	6	6
PhySigs	m5_S5_k0_eps0.1	2	84	0	6	6
PhySigs	m5_S5_k0_eps0.1	5	64	0	6	6
PhySigs	m5_S5_k0_eps0.1	4	196	0	6	6
dSig	m5_S62_k0_eps0.1	1	52	0	11	6
dSig	m5_S62_k0_eps0.1	3	124	0	9	8
dSig	m5_S62_k0_eps0.1	2	154	0	9	8
dSig	m5_S62_k0_eps0.1	5	105	0	9	8
dSig	m5_S62_k0_eps0.1	4	49	1	10	7
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	1	52	0	10	7
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	3	124	0	7	10
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	2	154	0	6	11
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	5	105	0	7	10
PhyloSigFinder.dSig	m5_S62_k0_eps0.1	4	49	0	9	8
PhySigs	m5_S62_k0_eps0.1	1	52	0	8	9
PhySigs	m5_S62_k0_eps0.1	3	124	0	8	9
PhySigs	m5_S62_k0_eps0.1	2	154	0	8	9
PhySigs	m5_S62_k0_eps0.1	5	105	0	8	9
PhySigs	m5_S62_k0_eps0.1	4	49	0	8	9
dSig	m5_S66_k0_eps0.1	1	170	1	7	5
dSig	m5_S66_k0_eps0.1	3	81	1	6	6
dSig	m5_S66_k0_eps0.1	2	46	0	6	6
dSig	m5_S66_k0_eps0.1	5	19	1	8	4
dSig	m5_S66_k0_eps0.1	4	132	0	5	7
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	1	170	1	4	8
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	3	81	1	4	8
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	2	46	0	6	6
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	5	19	NA	NA	NA
PhyloSigFinder.dSig	m5_S66_k0_eps0.1	4	132	0	4	8
PhySigs	m5_S66_k0_eps0.1	1	170	0	7	5
PhySigs	m5_S66_k0_eps0.1	3	81	0	7	5
PhySigs	m5_S66_k0_eps0.1	2	46	0	7	5
PhySigs	m5_S66_k0_eps0.1	5	19	0	7	5
PhySigs	m5_S66_k0_eps0.1	4	132	0	7	5
dSig	m5_S69_k0_eps0.1	1	98	0	10	7
dSig	m5_S69_k0_eps0.1	3	151	0	12	5
dSig	m5_S69_k0_eps0.1	2	78	0	12	5
dSig	m5_S69_k0_eps0.1	5	96	0	10	7
dSig	m5_S69_k0_eps0.1	4	109	0	12	5
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	1	98	1	9	8
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	3	151	1	9	8
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	2	78	1	10	7
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	5	96	0	10	7
PhyloSigFinder.dSig	m5_S69_k0_eps0.1	4	109	2	9	8
PhySigs	m5_S69_k0_eps0.1	1	98	0	12	5
PhySigs	m5_S69_k0_eps0.1	3	151	0	12	5
PhySigs	m5_S69_k0_eps0.1	2	78	0	12	5
PhySigs	m5_S69_k0_eps0.1	5	96	0	12	5
PhySigs	m5_S69_k0_eps0.1	4	109	0	12	5
dSig	m5_S71_k0_eps0.1	1	67	1	4	7
dSig	m5_S71_k0_eps0.1	3	168	0	4	7
dSig	m5_S71_k0_eps0.1	2	102	0	4	7
dSig	m5_S71_k0_eps0.1	5	23	1	7	4
dSig	m5_S71_k0_eps0.1	4	47	0	5	6
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	1	67	0	4	7
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	3	168	0	2	9
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	2	102	0	2	9
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	5	23	0	7	4
PhyloSigFinder.dSig	m5_S71_k0_eps0.1	4	47	0	6	5
PhySigs	m5_S71_k0_eps0.1	1	67	0	4	7
PhySigs	m5_S71_k0_eps0.1	3	168	0	4	7
PhySigs	m5_S71_k0_eps0.1	2	102	0	4	7
PhySigs	m5_S71_k0_eps0.1	5	23	0	4	7
PhySigs	m5_S71_k0_eps0.1	4	47	0	4	7
dSig	m5_S9_k0_eps0.1	1	125	0	7	7
