S1	SBS1
S2	SBS2
S3	SBS3
S4	SBS4
S5	SBS5
S6	SBS6
S7	SBS7a
S8	SBS7b
S9	SBS7c
S10	SBS7d
S11	SBS8
S12	SBS9
S13	SBS10a
S14	SBS10b
S15	SBS11
S16	SBS12
S17	SBS13
S18	SBS14
S19	SBS15
S20	SBS16
S21	SBS17a
S22	SBS17b
S23	SBS18
S24	SBS19
S25	SBS20
S26	SBS21
S27	SBS22
S28	SBS23
S29	SBS24
S30	SBS25
S31	SBS26
S32	SBS27
S33	SBS28
S34	SBS29
S35	SBS30
S36	SBS31
S37	SBS32
S38	SBS33
S39	SBS34
S40	SBS35
S41	SBS36
S42	SBS37
S43	SBS38
S44	SBS39
S45	SBS40
S46	SBS41
S47	SBS42
S48	SBS43
S49	SBS44
S50	SBS45
S51	SBS46
S52	SBS47
S53	SBS48
S54	SBS49
S55	SBS50
S56	SBS51
S57	SBS52
S58	SBS53
S59	SBS54
S60	SBS55
S61	SBS56
S62	SBS57
S63	SBS58
S64	SBS59
S65	SBS60
S66	SBS84
S67	SBS85
S68	SBS86
S69	SBS87
S70	SBS88
S71	SBS89
S72	SBS90
